C:\EngNCERP\eegdata\dat\vmultiamino.NED	Frequency:	128Hz
²ÉÑù	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
0.328	1308902.929	1304215.051	-542652.727	-426374.040	1294213.939	1295456.364	-318434.343	-395257.374	-418602.323	-373795.556	-371802.323	-381754.141	2016801.212	-404290.101	1296233.131	-423649.091	2016801.212	-401002.121	1967638.384	54623.636	2016801.212	-332669.192	41525.152	-455398.081	
0.336	1307762.424	1303342.626	1751445.859	1807898.788	1293238.384	1294238.990	1841046.869	1815008.182	1828417.273	1845799.899	1839555.455	1844675.051	2016801.212	1836218.889	2009588.586	1829995.455	2016801.212	1834460.505	2016801.212	1959467.778	2016801.212	1861344.444	1958905.657	1816898.990	
0.344	1304043.838	1299381.212	2016801.212	2016801.212	1289479.697	1290392.525	2016801.212	2016801.212	2016801.212	2016801.212	2016801.212	2016801.212	2016801.212	2016801.212	2016801.212	2016801.212	2016801.212	2016801.212	2016801.212	2016801.212	2016801.212	2016801.212	1876737.980	2016801.212	
0.352	1310063.838	1305872.121	1701371.919	1405017.879	1296505.758	1297168.283	1136503.131	1378380.404	1473624.343	1325851.414	1822792.727	1347473.838	2016801.212	1388660.101	2016801.212	1418152.828	2016801.212	1457616.869	2016801.212	1949013.737	2016801.212	1289804.949	-278258.990	1521236.162	
0.359	1309236.566	1304644.646	-697811.414	-1132888.182	1295143.333	1295635.758	-1345382.727	-1154921.010	-1074716.869	-1229584.242	-410252.121	-1213768.283	2016801.212	-1174182.828	1718759.596	-1144184.545	2016801.212	-1093050.606	2016801.212	1646102.525	2016801.212	-1259269.798	-1739578.384	-1018929.899	
0.367	1312645.960	1308462.020	-796472.727	-697523.636	1298699.697	1299634.545	-583119.192	-672018.990	-690209.596	-652352.424	-634420.909	-659807.172	2016801.212	-680936.768	1344622.121	-697549.899	2016801.212	-684981.313	2016801.212	2013845.455	2016801.212	-622008.384	-253575.051	-732783.737	
0.375	1310993.434	1306993.333	1622861.919	1694870.606	1297024.545	1298197.980	1748299.495	1703598.485	1715805.455	1737468.283	1726175.051	1735493.434	2016801.212	1723927.071	1987257.980	1715938.182	2016801.212	1718360.000	2016801.212	2016801.212	2016801.212	1753963.636	1890465.758	1694843.737	
0.383	1311855.253	1307597.475	2016801.212	2016801.212	1297816.162	1298772.727	2016801.212	2016801.212	2016801.212	2016801.212	2016801.212	2016801.212	2016801.212	2016801.212	2016801.212	2016801.212	2016801.212	2016801.212	2016801.212	2016801.212	2016801.212	2016801.212	1979453.030	2016801.212	
0.391	1313214.040	1309129.394	1843341.818	1627698.182	1299522.828	1300217.576	1425856.566	1606873.838	1680834.848	1571910.707	1930273.030	1587915.859	2016801.212	1619518.889	2016801.212	1642807.576	2016801.212	1669587.374	2016801.212	1886777.980	2016801.212	1541241.414	176608.990	1719079.091	
0.398	1312826.970	1308420.202	-341296.263	-850508.384	1298994.848	1299626.465	-1117541.717	-877572.323	-780108.687	-968722.727	-50835.051	-949157.475	2016801.212	-897787.879	1787165.152	-859165.758	2016801.212	-800481.515	2016801.212	1217942.626	2016801.212	-1012047.172	-1700835.253	-708520.909	
